ID,duration,wav,semantics,transcript
d3e8af8e-a060-3cc5-b0c4-7c0e134a6d92,7.3674375,./data/newmock/SantaAna_sync/d3e8af8e-a060-3cc5-b0c4-7c0e134a6d92/d3e8af8e-a060-3cc5-b0c4-7c0e134a6d92.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'santa ana'}]},NEXT SUNDAY THROUGH TUESDAY IN SANTA ANA I WILL BE IN THE MID TWENTYS WHILE THOSE WILL BE IN THE MID TEENS NEXT SUNDAY AND MONDA
3c1a856a-a266-3435-8bdf-21351356b4d8,3.8220625,./data/newmock/LasVegas_sync/3c1a856a-a266-3435-8bdf-21351356b4d8/3c1a856a-a266-3435-8bdf-21351356b4d8.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'las vegas'}]},WELL THERE'S NO WIND CHILL IN LAS VEGAS RIGHT NOW IT FEELS LIKE SEVENTY THRE
1121a678-06fc-3c90-a2fb-d3001650dd080,2.7116875,./data/ny_navi/1121a678-06fc-3c90-a2fb-d3001650dd08/1121a678-06fc-3c90-a2fb-d3001650dd08.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'destination'}]}, IN 600 FEET YOUR DESTINATION WILL BE ON THE RIGH
417cd6bd-7e09-34ad-88c7-ecfd3140891f0,3.858,./data/ny_navi/417cd6bd-7e09-34ad-88c7-ecfd3140891f/417cd6bd-7e09-34ad-88c7-ecfd3140891f.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'continue'}| {'type': 'road'| 'filler': 'i two seventy-eight west'}]}, IN A QUARTER MILE KEEP LEFT TO CONTINUE TOWARD I-278 WES
71bcc4d1-a433-33f5-b524-7c461b6c994c,4.058,./data/newmock/Yonkers_sync/71bcc4d1-a433-33f5-b524-7c461b6c994c/71bcc4d1-a433-33f5-b524-7c461b6c994c.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'yonkers'}]},THERE'S NO SNOW EXPECTED TODAY IN YONKERS IT'LL BE PARTLY CLOUD
21e3ce4b-3eb1-3a67-8aff-9939a389779a,3.0273125,./data/Navigation/cleaned_navi/42sync/21e3ce4b-3eb1-3a67-8aff-9939a389779a/21e3ce4b-3eb1-3a67-8aff-9939a389779a.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'turn right'}]}, in 600 feet use the right two lanes to turn righ
d074ebe1-1acb-39f8-80d8-11e370cf9b09,5.1081875,./data/Reminder/d074ebe1-1acb-39f8-80d8-11e370cf9b09/d074ebe1-1acb-39f8-80d8-11e370cf9b09.wav,{'action': 'reminder'| 'entities': [{'type': 'time'| 'filler': 'on tuesday today at three pm'}]}, can only set reminders for times in the future when do you want to be reminde
fe6b12fa-7e9a-383f-a289-6497efe549ba,6.3280625,./data/newmock/VirginiaBeach_sync/fe6b12fa-7e9a-383f-a289-6497efe549ba/fe6b12fa-7e9a-383f-a289-6497efe549ba.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'virginia beach'}]},NO IT WON'T SNOW IN VIRGINIA BEACH FRIDAY IT'LL BE SUNNY WITH A HIGH OF SEVENTY TWO AND A LOW OF FORTY SI
347ccc1e-cffe-3547-9fc8-c577ca8cbd560,2.8291875,./data/ny_navi/347ccc1e-cffe-3547-9fc8-c577ca8cbd56/347ccc1e-cffe-3547-9fc8-c577ca8cbd56.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'take the next left'}| {'type': 'intent'| 'filler': 'destination'}]}, IT'S A SECOND LEFT THEN YOUR DESTINATION WILL BE ON THE RIGH
94948887-77fa-3226-af61-816eec6534da,3.7619375,./data/newmock/Anaheim_sync/94948887-77fa-3226-af61-816eec6534da/94948887-77fa-3226-af61-816eec6534da.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'anaheim'}]},ANAHEIM TODAY EXPECT A HIGH OF TWENTY ONE AND A LOW OF FORT
c56f6aa0-5acb-3055-8484-b1828b3c2cae,4.0540625,./data/Navigation/cleaned_navi/126sync/c56f6aa0-5acb-3055-8484-b1828b3c2cae/c56f6aa0-5acb-3055-8484-b1828b3c2cae.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'turn right'}| {'type': 'road'| 'filler': 'i fifteen south'}| {'type': 'intent'| 'filler': 'merge'}| {'type': 'road'| 'filler': 'i fifteen south'}]}, turn right onto the i-15 south ramp then merge onto i-15 sout
e00b70a8-e1f8-3250-98c5-850a383dc682,3.969,./data/cleansun/e00b70a8-e1f8-3250-98c5-850a383dc682/e00b70a8-e1f8-3250-98c5-850a383dc682.wav,{'action': 'sun'| 'entities': [{'type': 'city'| 'filler': 'orlando'}]},IN ORLANDO TOMORROW SUNRISE IS AT 6:45 A.M
31c48138-e640-31fc-836c-24610dce6ef8,3.5349375,./data/newmock/Stockton_sync/31c48138-e640-31fc-836c-24610dce6ef8/31c48138-e640-31fc-836c-24610dce6ef8.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'stockton'}]},THE TEMPERATURE IN STOCKTON TONIGHT IS PREDICTED TO BE SEVENTEEN DEGREE
4aca3be1-884d-3a29-98f3-9d9ed4cf40b0,4.0798125,./data/newmock/Chicago_sync/4aca3be1-884d-3a29-98f3-9d9ed4cf40b0/4aca3be1-884d-3a29-98f3-9d9ed4cf40b0.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'chicago'}]},PROBABLY NOT TONIGHT IN CHICAGO THERE'S ONLY A VERY SLIGHT CHANCE OF RAI
f39374e4-f1ee-324b-90be-5b0b095502ad,4.544625,./data/newmock/Reno_sync/f39374e4-f1ee-324b-90be-5b0b095502ad/f39374e4-f1ee-324b-90be-5b0b095502ad.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'reno'}]},THIS MORNING IN RENO THE WIND IS PREDICTED TO BLOW FROM THE NORTH AT EIGHT KM PER HOU
1acb11da-bb19-33a1-a00a-02b1a74f3590,1.5601875,./data/Navigation/cleaned_navi/121sync/1acb11da-bb19-33a1-a00a-02b1a74f3590/1acb11da-bb19-33a1-a00a-02b1a74f3590.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'continue'}]}, continue for 8 mile
1ca11df0-40d5-36bd-8e6c-8400eb8a7037,3.1224375,./data/Navigation/cleaned_navi/30sync/1ca11df0-40d5-36bd-8e6c-8400eb8a7037/1ca11df0-40d5-36bd-8e6c-8400eb8a7037.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'continue'}| {'type': 'road'| 'filler': 'west canyon avenue'}]}, continue on west canyon avenue for three-quarters of a mil
66fedf6c-6c79-30ee-8220-8fd6aa408da3,6.5444375,./data/newmock/Irving_sync/66fedf6c-6c79-30ee-8220-8fd6aa408da3/66fedf6c-6c79-30ee-8220-8fd6aa408da3.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'irving'}]},I KNOW TODAY IS NOT EXPECTED TO BE SUNNY IN IRVING THEY'LL BE SCATTERED THUNDERSTORMS WITH A FORECASTED HIGH OF TWENTY FIV
8b4ca8b4-e8d3-39f2-927a-2cd749e166a8,4.093,./data/cleansun/8b4ca8b4-e8d3-39f2-927a-2cd749e166a8/8b4ca8b4-e8d3-39f2-927a-2cd749e166a8.wav,{'action': 'sun'| 'entities': [{'type': 'city'| 'filler': 'oakland'}]},IN OAKLAND TOMORROW THE SUN WILL RISE AT 6:45 A.M
db316cae-e137-3fb9-8304-680c4fa8b04f0,3.9850625,./data/ny_navi/db316cae-e137-3fb9-8304-680c4fa8b04f/db316cae-e137-3fb9-8304-680c4fa8b04f.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'turn left'}| {'type': 'road'| 'filler': 'fdr drive south street viaduct'}]}, IN A QUARTER MILE TURN LEFT ONTO STR DRIVE SOUTH STREET VIADUC
a3ca199d-24bf-385e-b910-7c45c1de83cd,4.7529375,./data/newmock/Houston_sync/a3ca199d-24bf-385e-b910-7c45c1de83cd/a3ca199d-24bf-385e-b910-7c45c1de83cd.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'houston'}]},YES TONIGHT IN HOUSTON THERE'S A VERY HIGH CHANCE OF RAIN STARTING AT ABOUT SIX P
c46616af-97b1-3538-b1d8-0ffeedc248c5,6.099,./data/Navigation/cleaned_navi/53sync/c46616af-97b1-3538-b1d8-0ffeedc248c5/c46616af-97b1-3538-b1d8-0ffeedc248c5.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'turn left'}| {'type': 'road'| 'filler': 'roselle street'}| {'type': 'intent'| 'filler': 'turn right'}| {'type': 'road'| 'filler': 'sorrento valley boulevard'}]}, is the middle lane to turn left onto rosselle street then use the right two lanes to turn right onto sorrento valley boulevar
662193fc-83b2-301e-a2a5-77acf6994eae,9.004625,./data/newmock/Dallas_sync/662193fc-83b2-301e-a2a5-77acf6994eae/662193fc-83b2-301e-a2a5-77acf6994eae.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'dallas'}]},FRIDAY THROUGH SUNDAY IN DALLAS HIGH SCHOOL BE AROUND SEVENTY EIGHT WELL THOSE WILL RISE FROM SIXTY TWO TO SIXTY EIGHT FRIDAY AND SATURDAY IT'LL BE PARTLY CLOUD
