ID,duration,wav,semantics,transcript
48a0c09b-d855-334b-be7b-ed75e9646f9f,3.1455625,./data/Reminder/48a0c09b-d855-334b-be7b-ed75e9646f9f/48a0c09b-d855-334b-be7b-ed75e9646f9f.wav,{'action': 'reminder'| 'entities': [{'type': 'todo'| 'filler': 'visit dentist'}]}, visit dentist when do you want to be reminde
2d614d1e-4cf7-37ad-a9d4-42734aa68743,2.68175,./data/Reminder/2d614d1e-4cf7-37ad-a9d4-42734aa68743/2d614d1e-4cf7-37ad-a9d4-42734aa68743.wav,{'action': 'reminder'| 'entities': [{'type': 'time'| 'filler': 'on monday at eleven am'}]}, all right i'll remind you on monday at 11 a.m
d950ee61-69de-3e8f-b48b-702db758c6f2,7.07,./data/cleanair/d950ee61-69de-3e8f-b48b-702db758c6f2/d950ee61-69de-3e8f-b48b-702db758c6f2.wav,{'action': 'air'| 'entities': [{'type': 'city'| 'filler': 'pittsburgh'}]},ACCORDING TO THE AIR QUALITY INDEX RANGING FROM 15 TO 2
ba989694-0caa-3750-8b80-b7b88098654f,2.592,./data/Reminder/ba989694-0caa-3750-8b80-b7b88098654f/ba989694-0caa-3750-8b80-b7b88098654f.wav,{'action': 'reminder'| 'entities': [{'type': 'time'| 'filler': 'tomorrow at seven pm'}]}, i'll remind you tomorrow at 7 p.m
192ee142-b60e-3f48-9b38-edb7eae03ae3,5.582,./data/cleanstock/192ee142-b60e-3f48-9b38-edb7eae03ae3/192ee142-b60e-3f48-9b38-edb7eae03ae3.wav,{'action': 'stock'| 'entities': [{'type': 'company'| 'filler': 'salesforce'}]},SALESFORCE CLOSED DOWN 2.5% TODAY AT *146.3
3aa0697d-bb52-3b08-a2e4-cb4c9e902944,3.031,./data/Reminder/3aa0697d-bb52-3b08-a2e4-cb4c9e902944/3aa0697d-bb52-3b08-a2e4-cb4c9e902944.wav,{'action': 'reminder'| 'entities': [{'type': 'todo'| 'filler': 'get gas on my way home'}]}, gas on my way hom
82b87c8c-3dca-3f83-969e-d3963eb2dbf4,3.8455,./data/Reminder/82b87c8c-3dca-3f83-969e-d3963eb2dbf4/82b87c8c-3dca-3f83-969e-d3963eb2dbf4.wav,{'action': 'reminder'| 'entities': [{'type': 'todo'| 'filler': 'pick up joanie on my way to work'}]}, when do you want to be reminde
ee2852bb-241f-3615-8a18-963ca876563a0,2.9704375,./data/ny_navi/ee2852bb-241f-3615-8a18-963ca876563a/ee2852bb-241f-3615-8a18-963ca876563a.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'continue'}| {'type': 'road'| 'filler': 'i two seventy-eight west'}]}, CONTINUE ON I-278 WEST FOR 2 MILE
0c3a58d7-1888-3582-9d00-b8e8fc8295c3,3.2983125,./data/newmock/Toledo_sync/0c3a58d7-1888-3582-9d00-b8e8fc8295c3/0c3a58d7-1888-3582-9d00-b8e8fc8295c3.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'toledo'}]},TEMPERATURE IN TOLEDO TONIGHT IS PREDICTED TO BE NINETEEN DEGREE
d5ca72f1-f174-32ed-8fcf-d556683e582c,4.341,./data/cleantime/d5ca72f1-f174-32ed-8fcf-d556683e582c/d5ca72f1-f174-32ed-8fcf-d556683e582c.wav,{'action': 'time'| 'entities': [{'type': 'city'| 'filler': 'san diego'}]},
2e4e5e9a-f9a8-3056-a686-705619257ca9,6.698,./data/cleanstock/2e4e5e9a-f9a8-3056-a686-705619257ca9/2e4e5e9a-f9a8-3056-a686-705619257ca9.wav,{'action': 'stock'| 'entities': [{'type': 'company'| 'filler': 'regeneron pharmaceuticals'}]},5
cf4f5396-cf3c-32d4-b2e8-7c65d9164ea7,4.837,./data/cleantime/cf4f5396-cf3c-32d4-b2e8-7c65d9164ea7/cf4f5396-cf3c-32d4-b2e8-7c65d9164ea7.wav,{'action': 'time'| 'entities': [{'type': 'city'| 'filler': 'chesapeake'}]},THE TIME IN CHESAPEAKE VIRGINIA UNITED STATES IS 8:52 P.M
d478dbc7-09a6-3f99-8787-25c9e62fd8db,2.759,./data/Reminder/d478dbc7-09a6-3f99-8787-25c9e62fd8db/d478dbc7-09a6-3f99-8787-25c9e62fd8db.wav,{'action': 'reminder'| 'entities': [{'type': 'todo'| 'filler': 'go to target'}]}, go to target when do you want to be reminde
63050b82-68a3-3f55-a9fa-8c5e5efb1891,2.9530625,./data/newmock/Omaha_sync/63050b82-68a3-3f55-a9fa-8c5e5efb1891/63050b82-68a3-3f55-a9fa-8c5e5efb1891.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'omaha'}]},NO TODAY IN OMAHA THERE'S NO CHANCE OF SNO
eaed8cde-f3e4-3a1f-9a75-92fa5e7091ab,5.277,./data/newmock/Riverside_sync/eaed8cde-f3e4-3a1f-9a75-92fa5e7091ab/eaed8cde-f3e4-3a1f-9a75-92fa5e7091ab.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'riverside'}]},TONIGHT IN RIVERSIDE THERE'S A MODERATE CHANCE OF RAIN STARTING AROUND FIVE A.M. AND CONTINUING THROUGH THE NIGH
4bea899f-713d-39d1-9f47-f6264b205c06,2.795,./data/Navigation/cleaned_navi/220sync/4bea899f-713d-39d1-9f47-f6264b205c06/4bea899f-713d-39d1-9f47-f6264b205c06.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'turn right'}| {'type': 'road'| 'filler': 'kearny villa road'}]}, in a quarter mile turn right at the kearny villa roa
61c370c7-cb84-3a60-a618-5d28d8018bb9,2.5935625,./data/newmock/Cleveland_sync/61c370c7-cb84-3a60-a618-5d28d8018bb9/61c370c7-cb84-3a60-a618-5d28d8018bb9.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'cleveland'}]},THIS WEEK IN CLEVELAND SO THERE'S NO CHANCE OF SNO
b54e6711-83c2-3b56-b312-a93a12c2232d,3.5765625,./data/newmock/ElPaso_sync/b54e6711-83c2-3b56-b312-a93a12c2232d/b54e6711-83c2-3b56-b312-a93a12c2232d.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'el paso'}]},THE TEMPERATURE TOMORROW MORNING IN EL PASO WILL BE SIXTY THREE DEGREE
7968cb74-e1f2-3beb-8497-c0e2191faaab,4.364625,./data/newmock/CorpusChristi_sync/7968cb74-e1f2-3beb-8497-c0e2191faaab/7968cb74-e1f2-3beb-8497-c0e2191faaab.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'corpus christi'}]},THERE'S NO SNOW EXPECTED TODAY IN CORPUS CHRISTI IT'LL BE MOSTLY CLOUD
e0a474da-127d-3733-b837-1a259ccfdccc0,2.96925,./data/ny_navi/e0a474da-127d-3733-b837-1a259ccfdccc/e0a474da-127d-3733-b837-1a259ccfdccc.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'take'}| {'type': 'road'| 'filler': 'bronx river parkway'}]}, IS THE RIGHT LANE TO TAKE THE BRONX RIVER PARKWAY RAM
7b30ecfc-9645-3e94-a65d-73ba143c1dd3,3.969,./data/cleansun/7b30ecfc-9645-3e94-a65d-73ba143c1dd3/7b30ecfc-9645-3e94-a65d-73ba143c1dd3.wav,{'action': 'sun'| 'entities': [{'type': 'city'| 'filler': 'hialeah'}]},
